state,agencyType,agencyName,race,religion,sexOrientation,disability,gender,genderIdentity,population
Alabama,Total,,8,1,0,0,0,0,0
Alabama,Cities,,7,1,0,0,0,0,0
Alabama,Cities,Hoover,5,1,0,0,0,0,85634
Alabama,Cities,Ozark,2,0,0,0,0,0,14559
Alabama,Universities and Colleges,,1,0,0,0,0,0,0
Alabama,Universities and Colleges,Jacksonville State University,1,0,0,0,0,0,8514
Alaska,Total,,3,1,0,0,0,0,0
Alaska,Cities,,3,0,0,0,0,0,0
Alaska,Cities,Anchorage,1,0,0,0,0,0,296188
Alaska,Cities,Juneau,2,0,0,0,0,0,32344
Alaska,State Police Agencies,,0,1,0,0,0,0,0
Alaska,State Police Agencies,Alaska State Troopers,0,1,0,0,0,0,0
Arizona,Total,,168,48,55,5,0,12,0
Arizona,Cities,,160,47,52,5,0,12,0
Arizona,Cities,Avondale,0,0,1,0,0,0,84041
Arizona,Cities,Chandler,1,0,0,0,0,0,249355
Arizona,Cities,Cottonwood,1,0,0,0,0,0,12116
Arizona,Cities,El Mirage,1,0,0,0,0,0,35611
Arizona,Cities,Gilbert,2,1,0,0,0,0,242090
Arizona,Cities,Glendale,3,2,0,0,0,0,249273
Arizona,Cities,Mesa,4,1,0,0,0,0,492268
Arizona,Cities,Page,1,0,0,0,0,0,7632
Arizona,Cities,Phoenix2,142,41,44,4,0,12,1644177
Arizona,Cities,Scottsdale,2,1,1,0,0,0,251840
Arizona,Cities,St. Johns,2,0,0,0,0,0,3581
Arizona,Cities,Tucson,0,1,3,1,0,0,532323
Arizona,Cities,Wickenburg,0,0,1,0,0,0,6979
Arizona,Cities,Yuma,1,0,2,0,0,0,95522
Arizona,Universities and Colleges,,1,1,1,0,0,0,0
Arizona,Universities and Colleges,University of Arizona,1,1,1,0,0,0,43161
Arizona,Metropolitan Counties,,5,0,2,0,0,0,0
Arizona,Metropolitan Counties,Maricopa,1,0,2,0,0,0,0
Arizona,Metropolitan Counties,Mohave,1,0,0,0,0,0,0
Arizona,Metropolitan Counties,Pima,2,0,0,0,0,0,0
Arizona,Metropolitan Counties,Yuma,1,0,0,0,0,0,0
Arizona,Nonmetropolitan Counties,,2,0,0,0,0,0,0
Arizona,Nonmetropolitan Counties,Apache,2,0,0,0,0,0,0
Arkansas,Total,,5,0,1,1,0,0,0
Arkansas,Cities,,5,0,1,0,0,0,0
Arkansas,Cities,Benton,1,0,0,0,0,0,36702
Arkansas,Cities,Fayetteville,0,0,1,0,0,0,85592
Arkansas,Cities,Fort Smith,4,0,0,0,0,0,88437
